DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNETMIG,2,2021,84735,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNETMIG,9,2020,152832,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNETMIG,9,2021,179514,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNMIGRAT,1,2019,47624,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNMIGRAT,1,2020,26300,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNMIGRAT,1,2021,11907,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNMIGRAT,2,2019,67529,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNMIGRAT,2,2020,36268,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNMIGRAT,2,2021,21430,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNMIGRAT,9,2019,115153,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNMIGRAT,9,2020,62568,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNMIGRAT,9,2021,33337,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FPOPCOM_CP,1,2019,107891,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FPOPCOM_CP,1,2020,104564,,,,,,,,
