"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant Country of citizenship","MOTIVOPS1","Reason","TIME","Select time","Value","Flag Codes","Flags"
"ITD41","Pordenone","INFLNONEU","annual inflows of non-EU citizens","2","females","PK","Pakistan","ALL1","international protection","2019","2019",1,,
"ITD41","Pordenone","INFLNONEU","annual inflows of non-EU citizens","2","females","PK","Pakistan","ALL1","international protection","2020","2020",2,,
"ITD41","Pordenone","INFLNONEU","annual inflows of non-EU citizens","2","females","PK","Pakistan","ALL1","international protection","2022","2022",3,,
"ITD41","Pordenone","INFLNONEU","annual inflows of non-EU citizens","2","females","PK","Pakistan","ALL1","international protection","2023","2023",2,,
"ITE41","Viterbo","INFLNONEU","annual inflows of non-EU citizens","1","males","GH","Ghana","ALL1","international protection","2020","2020",2,,
"ITE41","Viterbo","INFLNONEU","annual inflows of non-EU citizens","1","males","GH","Ghana","ALL1","international protection","2021","2021",1,,
"ITE41","Viterbo","INFLNONEU","annual inflows of non-EU citizens","1","males","GH","Ghana","ALL1","international protection","2023","2023",1,,
"ITE34","Ascoli Piceno","INFLNONEU","annual inflows of non-EU citizens","2","females","MD","Moldova","ALL1","international protection","2020","2020",1,,
"ITE34","Ascoli Piceno","INFLNONEU","annual inflows of non-EU citizens","2","females","MD","Moldova","ALL1","international protection","2021","2021",1,,
"ITE34","Ascoli Piceno","INFLNONEU","annual inflows of non-EU citizens","2","females","MD","Moldova","ALL1","international protection","2022","2022",3,,
"ITE34","Ascoli Piceno","INFLNONEU","annual inflows of non-EU citizens","2","females","MD","Moldova","ALL1","international protection","2023","2023",2,,
"ITF32","Benevento","INFLNONEU","annual inflows of non-EU citizens","1","males","CN","China","ALL1","international protection","2020","2020",1,,
"ITG15","Caltanissetta","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2022","2022",1,,
"ITE16","Livorno","INFLNONEU","annual inflows of non-EU citizens","2","females","BR","Brazil","ALL1","international protection","2023","2023",1,,
"ITC34","La Spezia","INFLNONEU","annual inflows of non-EU citizens","9","total","IN","India","ALL1","international protection","2023","2023",1,,
