"ITTER107","Territory","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q1","Q1-2023",249.908,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q2","Q2-2023",255.648,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q3","Q3-2023",257.526,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q4","Q4-2023",249.628,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q1","Q1-2024",251.715,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q2","Q2-2024",263.432,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q3","Q3-2024",258.643,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",296.258,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",299.071,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",299.039,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",286.873,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",300.049,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",268.544,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",252.259,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",287.555,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",268.348,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",266.015,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",270.408,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",266.079,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2023","2023",255.814,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",268.518,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",262.365,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",270.523,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",280.224,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",292.454,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",275.674,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",248.547,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",247.644,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q1","Q1-2023",250.153,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q2","Q2-2023",236.864,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q3","Q3-2023",256.104,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q4","Q4-2023",280.135,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q1","Q1-2024",260.98,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q2","Q2-2024",267.198,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q3","Q3-2024",280.844,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",493.337,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",474.997,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",502.138,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",467.79,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",528.424,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",414.731,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",411.79,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",419.214,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",449.424,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",378.497,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",411.397,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",479.41,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2023","2023",487.553,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",333.598,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",395.302,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",458.426,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",458.262,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",472.047,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",478.649,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",494.386,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",472.558,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q1","Q1-2023",451.686,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q2","Q2-2023",506.116,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q3","Q3-2023",528.474,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q4","Q4-2023",463.935,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q1","Q1-2024",462.054,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q2","Q2-2024",531.269,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q3","Q3-2024",597.685,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",117.72,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",116.154,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",123.214,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",110.133,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",121.38,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",97.951,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",94.283,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",115.542,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",102.738,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",79.241,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",96.726,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",121.115,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2023","2023",120.22,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",77.656,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",99.476,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",101.549,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",108.222,,
